GUIDELINES	YEAR	TEST_METHOD	POTENCY	ORGANISM_CODE	ORGANISM_CODE_TYPE	BREAKPOINT_TYPE	HOST	SITE_OF_INFECTION	REFERENCE_TABLE	REFERENCE_SEQUENCE	WHONET_ABX_CODE	WHONET_TEST	R	I	SDD	S	ECV_ECOFF	DATE_ENTERED	DATE_MODIFIED	COMMENTS
EUCAST	2023	MIC		aba	WHONET_ORG_CODE	ECOFF					AMK	AMK_EM					8	2023-04-05		
EUCAST	2023	MIC		aba	WHONET_ORG_CODE	ECOFF					CTX	CTX_EM					64	2023-04-05		
EUCAST	2023	MIC		aba	WHONET_ORG_CODE	ECOFF					CIP	CIP_EM					1	2023-04-05		
EUCAST	2023	MIC		aba	WHONET_ORG_CODE	ECOFF					COL	COL_EM					2	2023-04-05		
EUCAST	2023	MIC		aba	WHONET_ORG_CODE	ECOFF					DFX	DFX_EM					1	2023-04-05		
EUCAST	2023	MIC		aba	WHONET_ORG_CODE	ECOFF					DOR	DOR_EM					1	2023-04-05		
EUCAST	2023	MIC		aba	WHONET_ORG_CODE	ECOFF					GEN	GEN_EM					2	2023-04-05		
EUCAST	2023	MIC		aba	WHONET_ORG_CODE	ECOFF					IPM	IPM_EM					2	2023-04-05		
EUCAST	2023	MIC		aba	WHONET_ORG_CODE	ECOFF					LVX	LVX_EM					0.5	2023-04-05		
EUCAST	2023	MIC		aba	WHONET_ORG_CODE	ECOFF					MEM	MEM_EM					4	2023-04-05		
EUCAST	2023	MIC		aba	WHONET_ORG_CODE	ECOFF					MFX	MFX_EM					0.25	2023-04-05		
EUCAST	2023	MIC		aba	WHONET_ORG_CODE	ECOFF					SIT	SIT_EM					0.064	2023-04-05		
EUCAST	2023	MIC		aba	WHONET_ORG_CODE	ECOFF					TGC	TGC_EM					0.5	2023-04-05		
EUCAST	2023	MIC		aba	WHONET_ORG_CODE	ECOFF					TOB	TOB_EM					4	2023-04-05		
EUCAST	2023	MIC		aba	WHONET_ORG_CODE	ECOFF					SXT	SXT_EM					0.5	2023-04-05		
EUCAST	2023	MIC		cal	WHONET_ORG_CODE	ECOFF					AMB	AMB_EM					1	2023-04-05		
EUCAST	2023	MIC		cal	WHONET_ORG_CODE	ECOFF					FLU	FLU_EM					0.5	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					AMK	AMK_EM					8	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					AMX	AMX_EM					8	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					AMP	AMP_EM					8	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					AZM	AZM_EM					16	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					ATM	ATM_EM					0.25	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					CZO	CZO_EM					4	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					FEP	FEP_EM					0.25	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					FPT	FPT_EM					0.25	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					FPZ	FPZ_EM					0.125	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					CFM	CFM_EM					2	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					CFP	CFP_EM					1	2023-04-05		
EUCAST	2023	MIC		eco	WHONET_ORG_CODE	ECOFF					CTX	CTX_EM					0.25	2023-04-05		
